filename,width,height,class,xmin,ymin,xmax,ymax
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Fillings,170,109,189,133
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Fillings,358,57,391,106
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Fillings,330,81,358,106
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Fillings,311,58,330,109
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Fillings,257,127,282,154
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Fillings,282,130,302,150
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Fillings,319,120,338,147
0271_jpg.rf.e18d2d727c6d0c029f5b6024f39058d6.jpg,512,256,Fillings,140,114,161,164
0271_jpg.rf.e18d2d727c6d0c029f5b6024f39058d6.jpg,512,256,Fillings,148,62,195,111
0271_jpg.rf.e18d2d727c6d0c029f5b6024f39058d6.jpg,512,256,Fillings,130,77,164,117
0271_jpg.rf.e18d2d727c6d0c029f5b6024f39058d6.jpg,512,256,Fillings,162,111,184,157
0271_jpg.rf.e18d2d727c6d0c029f5b6024f39058d6.jpg,512,256,Fillings,314,70,362,115
0271_jpg.rf.e18d2d727c6d0c029f5b6024f39058d6.jpg,512,256,Fillings,323,116,348,164
0271_jpg.rf.e18d2d727c6d0c029f5b6024f39058d6.jpg,512,256,Fillings,348,120,372,165
0271_jpg.rf.e18d2d727c6d0c029f5b6024f39058d6.jpg,512,256,Fillings,342,83,377,119
0271_jpg.rf.e18d2d727c6d0c029f5b6024f39058d6.jpg,512,256,Fillings,301,67,324,111
0682_jpg.rf.e23688c779d98bc43ec9d4d14a2b293e.jpg,512,256,Fillings,138,152,172,194
0682_jpg.rf.e23688c779d98bc43ec9d4d14a2b293e.jpg,512,256,Fillings,310,113,331,151
0682_jpg.rf.e23688c779d98bc43ec9d4d14a2b293e.jpg,512,256,Fillings,306,155,345,204
0682_jpg.rf.e23688c779d98bc43ec9d4d14a2b293e.jpg,512,256,Fillings,330,152,361,193
0682_jpg.rf.e23688c779d98bc43ec9d4d14a2b293e.jpg,512,256,Fillings,350,146,386,189
0682_jpg.rf.e23688c779d98bc43ec9d4d14a2b293e.jpg,512,256,Fillings,190,115,203,153
0682_jpg.rf.e23688c779d98bc43ec9d4d14a2b293e.jpg,512,256,Fillings,172,117,191,153
0682_jpg.rf.e23688c779d98bc43ec9d4d14a2b293e.jpg,512,256,Fillings,185,163,208,208
0682_jpg.rf.e23688c779d98bc43ec9d4d14a2b293e.jpg,512,256,Fillings,298,113,311,151
0254_jpg.rf.e2370b19315f494e8da966885e1f338f.jpg,512,256,Fillings,321,60,356,109
0254_jpg.rf.e2370b19315f494e8da966885e1f338f.jpg,512,256,Fillings,303,111,318,165
0254_jpg.rf.e2370b19315f494e8da966885e1f338f.jpg,512,256,Fillings,317,113,333,165
0254_jpg.rf.e2370b19315f494e8da966885e1f338f.jpg,512,256,Fillings,129,69,163,118
0665_jpg.rf.e28396971e4076816358b4380bb8ef61.jpg,512,256,Fillings,173,160,191,204
0665_jpg.rf.e28396971e4076816358b4380bb8ef61.jpg,512,256,Fillings,175,105,193,151
0665_jpg.rf.e28396971e4076816358b4380bb8ef61.jpg,512,256,Fillings,156,113,176,150
0665_jpg.rf.e28396971e4076816358b4380bb8ef61.jpg,512,256,Fillings,132,106,155,152
0665_jpg.rf.e28396971e4076816358b4380bb8ef61.jpg,512,256,Fillings,120,161,162,200
0665_jpg.rf.e28396971e4076816358b4380bb8ef61.jpg,512,256,Fillings,160,162,173,193
0744_jpg.rf.e2f75fd99ee9d1297819047273c989a6.jpg,512,256,Fillings,170,97,192,140
0744_jpg.rf.e2f75fd99ee9d1297819047273c989a6.jpg,512,256,Fillings,331,132,363,187
0744_jpg.rf.e2f75fd99ee9d1297819047273c989a6.jpg,512,256,Fillings,319,85,347,132
0744_jpg.rf.e2f75fd99ee9d1297819047273c989a6.jpg,512,256,Fillings,162,143,194,187
0744_jpg.rf.e2f75fd99ee9d1297819047273c989a6.jpg,512,256,Fillings,134,139,173,184
0744_jpg.rf.e2f75fd99ee9d1297819047273c989a6.jpg,512,256,Fillings,308,141,340,190
0744_jpg.rf.e2f75fd99ee9d1297819047273c989a6.jpg,512,256,Fillings,345,85,368,131
0744_jpg.rf.e2f75fd99ee9d1297819047273c989a6.jpg,512,256,Fillings,150,96,170,136
0645_jpg.rf.e317a75dfd18dc9f572c2fb511e0615a.jpg,512,256,Fillings,157,90,184,123
0199_jpg.rf.e33893e6d2d348af5fd939ccffeeab03.jpg,512,256,Fillings,147,119,173,169
0199_jpg.rf.e33893e6d2d348af5fd939ccffeeab03.jpg,512,256,Fillings,145,64,179,115
0199_jpg.rf.e33893e6d2d348af5fd939ccffeeab03.jpg,512,256,Fillings,176,62,205,109
0199_jpg.rf.e33893e6d2d348af5fd939ccffeeab03.jpg,512,256,Fillings,203,65,228,108
0199_jpg.rf.e33893e6d2d348af5fd939ccffeeab03.jpg,512,256,Fillings,204,121,228,167
0199_jpg.rf.e33893e6d2d348af5fd939ccffeeab03.jpg,512,256,Fillings,193,123,207,166
0199_jpg.rf.e33893e6d2d348af5fd939ccffeeab03.jpg,512,256,Fillings,170,123,196,163
0199_jpg.rf.e33893e6d2d348af5fd939ccffeeab03.jpg,512,256,Fillings,358,122,377,167
0199_jpg.rf.e33893e6d2d348af5fd939ccffeeab03.jpg,512,256,Fillings,334,125,357,168
0199_jpg.rf.e33893e6d2d348af5fd939ccffeeab03.jpg,512,256,Fillings,333,63,357,113
0199_jpg.rf.e33893e6d2d348af5fd939ccffeeab03.jpg,512,256,Fillings,317,60,335,112
0236_jpg.rf.e3a13fb53c62168eb9eb2a54babd5593.jpg,512,256,Fillings,139,107,168,144
0236_jpg.rf.e3a13fb53c62168eb9eb2a54babd5593.jpg,512,256,Fillings,162,100,184,132
0236_jpg.rf.e3a13fb53c62168eb9eb2a54babd5593.jpg,512,256,Fillings,184,94,204,140
0236_jpg.rf.e3a13fb53c62168eb9eb2a54babd5593.jpg,512,256,Fillings,154,46,194,94
0868_jpg.rf.e3aa9bea23699573fd18b584d9311cdb.jpg,512,256,Fillings,164,59,207,107
0868_jpg.rf.e3aa9bea23699573fd18b584d9311cdb.jpg,512,256,Fillings,317,68,353,112
0868_jpg.rf.e3aa9bea23699573fd18b584d9311cdb.jpg,512,256,Fillings,299,114,318,153
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Fillings,118,151,155,190
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Fillings,136,106,164,150
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Fillings,165,107,182,151
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Fillings,182,124,195,153
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Fillings,195,120,212,154
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Fillings,290,126,305,161
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Fillings,280,162,295,186
