filename,width,height,class,xmin,ymin,xmax,ymax
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Implant,175,116,206,153
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Implant,221,124,257,178
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Implant,302,126,329,175
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Implant,335,114,360,154
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Implant,142,96,174,144
0674_jpg.rf.e02a155a0c135687b9301ff9a20d220a.jpg,512,256,Implant,193,122,227,173
0271_jpg.rf.e18d2d727c6d0c029f5b6024f39058d6.jpg,512,256,Implant,183,113,197,155
0682_jpg.rf.e23688c779d98bc43ec9d4d14a2b293e.jpg,512,256,Implant,162,158,190,201
0665_jpg.rf.e28396971e4076816358b4380bb8ef61.jpg,512,256,Implant,313,94,332,137
0665_jpg.rf.e28396971e4076816358b4380bb8ef61.jpg,512,256,Implant,333,105,355,141
0665_jpg.rf.e28396971e4076816358b4380bb8ef61.jpg,512,256,Implant,354,105,371,140
0665_jpg.rf.e28396971e4076816358b4380bb8ef61.jpg,512,256,Implant,350,164,365,195
0665_jpg.rf.e28396971e4076816358b4380bb8ef61.jpg,512,256,Implant,332,155,348,197
0199_jpg.rf.e33893e6d2d348af5fd939ccffeeab03.jpg,512,256,Implant,302,56,318,114
0868_jpg.rf.e3aa9bea23699573fd18b584d9311cdb.jpg,512,256,Implant,295,64,328,105
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Implant,335,144,377,181
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Implant,309,155,347,196
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Implant,212,114,224,157
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Implant,225,114,242,162
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Implant,300,117,322,156
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Implant,264,161,281,209
0109_jpg.rf.e51226e7ad55c35a02d5dd6a45c6cede.jpg,512,256,Implant,275,122,291,160
0719_jpg.rf.e4f7d29b2be36550a95d39830bae7696.jpg,512,256,Implant,321,157,362,205
0719_jpg.rf.e4f7d29b2be36550a95d39830bae7696.jpg,512,256,Implant,329,105,354,151
0309_jpg.rf.e5a518937e4a91948e7e04fabb3045a0.jpg,512,256,Implant,290,130,304,172
0682_jpg.rf.e55dee1037c90d9b10f13f4e686b6308.jpg,512,256,Implant,162,55,190,98
0592_jpg.rf.e550f58e748a1b1dc71fbb65e53ee8a6.jpg,512,256,Implant,341,109,370,147
0592_jpg.rf.e550f58e748a1b1dc71fbb65e53ee8a6.jpg,512,256,Implant,324,113,344,152
0592_jpg.rf.e550f58e748a1b1dc71fbb65e53ee8a6.jpg,512,256,Implant,304,117,326,154
0592_jpg.rf.e550f58e748a1b1dc71fbb65e53ee8a6.jpg,512,256,Implant,179,119,198,163
0592_jpg.rf.e550f58e748a1b1dc71fbb65e53ee8a6.jpg,512,256,Implant,166,119,180,157
0592_jpg.rf.e550f58e748a1b1dc71fbb65e53ee8a6.jpg,512,256,Implant,312,63,333,102
0795_jpg.rf.e5e0e5a49c425a24090b1781ee0e77cb.jpg,512,256,Implant,179,157,198,201
0795_jpg.rf.e5e0e5a49c425a24090b1781ee0e77cb.jpg,512,256,Implant,321,153,338,201
0116_jpg.rf.e61be7fd6db9967250b6f8284319353e.jpg,512,256,Implant,331,128,355,172
0116_jpg.rf.e61be7fd6db9967250b6f8284319353e.jpg,512,256,Implant,353,127,376,170
0408_jpg.rf.e5a2096e88e0faf2e870720dd3ac8cd2.jpg,512,256,Implant,170,179,184,205
0528_jpg.rf.e77c08c50a3a5fa6775a204568db14fe.jpg,512,256,Implant,367,53,404,102
0528_jpg.rf.e77c08c50a3a5fa6775a204568db14fe.jpg,512,256,Implant,342,48,380,103
0528_jpg.rf.e77c08c50a3a5fa6775a204568db14fe.jpg,512,256,Implant,132,52,168,106
0528_jpg.rf.e77c08c50a3a5fa6775a204568db14fe.jpg,512,256,Implant,123,109,154,162
0528_jpg.rf.e77c08c50a3a5fa6775a204568db14fe.jpg,512,256,Implant,334,110,359,163
0528_jpg.rf.e77c08c50a3a5fa6775a204568db14fe.jpg,512,256,Implant,183,115,206,182
0446_jpg.rf.e8e0015f0f3532236fa3f6f37b72d959.jpg,512,256,Implant,227,75,242,111
0341_jpg.rf.e6da20950a4d1d54d5f885e604bba2ce.jpg,512,256,Implant,377,114,414,162
